date,home,away,goals_home,goals_away,season,delta,year,home__val,away__val,home__scored,home__suffered,home__delta_minus_1,home__delta_minus_2,home__delta_minus_3,home__delta_minus_4,home__avg_scored_3,home__avg_suffered_3,home__avg_scored_5,home__avg_suffered_5,away__scored,away__suffered,away__delta_minus_1,away__delta_minus_2,away__delta_minus_3,away__delta_minus_4,away__avg_scored_3,away__avg_suffered_3,away__avg_scored_5,away__avg_suffered_5
2019-08-25,Marítimo,Tondela,2,3,2019,-1,2019,15650,11050,2,3,-2,-2,0,0,1.0,2.3333333333333335,0.0,1.8,3,2,1,-1,-1,0,1.6666666666666665,2.0,1.0,1.2000000000000002
2019-08-25,Marítimo,Tondela,2,3,2019,-1,2019,15650,11050,2,3,-2,-2,0,0,1.0,2.3333333333333335,0.0,1.8,3,2,-1,-1,0,0,0.6666666666666666,1.3333333333333333,0.0,1.2000000000000002
2019-08-25,Santa Clara,Belenenses SAD,0,0,2019,0,2019,15350,11200,0,0,0,1,1,-2,0.6666666666666666,0.0,0.4,0.8,0,0,0,-2,-2,0,0.0,1.3333333333333333,0.0,0.8
2019-08-25,Santa Clara,Belenenses SAD,0,0,2019,0,2019,15350,11200,0,0,0,1,1,-2,0.6666666666666666,0.0,0.4,0.8,0,0,-2,-2,0,0,0.0,1.3333333333333333,0.0,0.8
2019-08-25,Santa Clara,Belenenses SAD,0,0,2019,0,2019,15350,11200,0,0,1,1,-2,-2,0.6666666666666666,0.6666666666666666,0.0,1.6,0,0,0,-2,-2,0,0.0,1.3333333333333333,0.0,0.8
2019-08-25,Santa Clara,Belenenses SAD,0,0,2019,0,2019,15350,11200,0,0,1,1,-2,-2,0.6666666666666666,0.6666666666666666,0.0,1.6,0,0,-2,-2,0,0,0.0,1.3333333333333333,0.0,0.8
2019-08-25,Portimonense,Sporting CP,1,3,2019,-2,2019,19150,215830,1,3,-2,1,1,0,1.6666666666666665,1.6666666666666665,1.0,1.0,3,1,2,1,1,0,2.333333333333333,1.0,1.7999999999999998,1.0
2019-08-25,Portimonense,Sporting CP,1,3,2019,-2,2019,19150,215830,1,3,-2,1,1,0,1.6666666666666665,1.6666666666666665,1.0,1.0,3,1,1,1,0,0,1.6666666666666665,1.0,0.0,1.2000000000000002
2019-08-25,Portimonense,Sporting CP,1,3,2019,-2,2019,19150,215830,1,3,1,1,0,0,1.3333333333333333,0.6666666666666666,0.0,0.8,3,1,2,1,1,0,2.333333333333333,1.0,1.7999999999999998,1.0
2019-08-25,Portimonense,Sporting CP,1,3,2019,-2,2019,19150,215830,1,3,1,1,0,0,1.3333333333333333,0.6666666666666666,0.0,0.8,3,1,1,1,0,0,1.6666666666666665,1.0,0.0,1.2000000000000002
2019-08-25,Gil Vicente,Braga,1,1,2019,0,2019,5550,92550,1,1,0,-3,-3,1,0.3333333333333333,2.333333333333333,1.0,1.8,1,1,0,-1,-1,2,1.0,1.6666666666666665,1.8000000000000003,1.4
2019-08-25,Gil Vicente,Braga,1,1,2019,0,2019,5550,92550,1,1,0,-3,-3,1,0.3333333333333333,2.333333333333333,1.0,1.8,1,1,-1,-1,2,2,1.6666666666666665,1.6666666666666665,0.0,1.2
2019-08-25,Gil Vicente,Braga,1,1,2019,0,2019,5550,92550,1,1,-3,-3,1,1,0.6666666666666666,2.3333333333333335,0.0,2.0,1,1,0,-1,-1,2,1.0,1.6666666666666665,1.8000000000000003,1.4
2019-08-25,Gil Vicente,Braga,1,1,2019,0,2019,5550,92550,1,1,-3,-3,1,1,0.6666666666666666,2.3333333333333335,0.0,2.0,1,1,-1,-1,2,2,1.6666666666666665,1.6666666666666665,0.0,1.2
2019-08-25,Vit. Guimarães,Famalicão,1,1,2019,0,2019,43680,14150,1,1,0,0,0,0,1.0,1.0,0.0,1.0,1,1,0,1,1,2,1.0,0.3333333333333333,1.4,0.2
2019-08-25,Vit. Guimarães,Famalicão,1,1,2019,0,2019,43680,14150,1,1,0,0,0,0,1.0,1.0,0.0,1.0,1,1,1,1,2,2,1.3333333333333333,0.0,0.0,0.0
2019-08-25,Vit. Guimarães,Famalicão,1,1,2019,0,2019,43680,14150,1,1,0,0,0,0,0.0,1.0,0.0,1.2000000000000002,1,1,0,1,1,2,1.0,0.3333333333333333,1.4,0.2
2019-08-25,Vit. Guimarães,Famalicão,1,1,2019,0,2019,43680,14150,1,1,0,0,0,0,0.0,1.0,0.0,1.2000000000000002,1,1,1,1,2,2,1.3333333333333333,0.0,0.0,0.0
2019-08-30,Moreirense,Portimonense,1,0,2019,1,2019,11050,19150,1,0,1,3,3,0,2.333333333333333,0.0,0.0,1.0,0,1,-1,-2,-2,1,0.6666666666666666,2.333333333333333,1.2000000000000002,1.8
2019-08-30,Moreirense,Portimonense,1,0,2019,1,2019,11050,19150,1,0,1,3,3,0,2.333333333333333,0.0,0.0,1.0,0,1,-2,-2,1,1,1.3333333333333333,2.3333333333333335,1.2000000000000002,1.6
2019-08-30,Moreirense,Portimonense,1,0,2019,1,2019,11050,19150,1,0,3,3,0,0,0.0,1.0,0.0,1.2,0,1,-1,-2,-2,1,0.6666666666666666,2.333333333333333,1.2000000000000002,1.8
2019-08-30,Moreirense,Portimonense,1,0,2019,1,2019,11050,19150,1,0,3,3,0,0,0.0,1.0,0.0,1.2,0,1,-2,-2,1,1,1.3333333333333333,2.3333333333333335,1.2000000000000002,1.6
2019-08-30,Belenenses SAD,Boavista,0,1,2019,-1,2019,11200,17650,0,1,-1,0,0,-2,0.0,0.3333333333333333,0.0,1.0,1,0,1,0,0,0,1.0,0.6666666666666666,1.0,0.8
